Clusters,Iteration,Dimensions,Gamma,Points,Loss,Scale
5,-1,2,10,278,-0.00067043304,9
5,-1,2,100,278,-9.536743e-07,9
5,-1,2,1,774,0.005039692,9
5,-1,2,10,774,2.2411346e-05,9
5,-1,2,100,774,-1.9073486e-06,9
5,-1,2,1,2154,0.049503326,9
5,-1,2,10,2154,-0.00022792816,9
5,-1,2,100,2154,-1.8119812e-05,9
5,-1,2,1,5994,0.06580734,9
5,-1,2,10,5994,0.00045394897,9
5,-1,2,100,5994,3.33786e-05,9
5,-1,2,1,16681,0.13125801,9
5,-1,2,10,16681,0.009597778,9
5,-1,2,100,16681,0.0013217926,9
5,-1,2,1,46415,0.03347206,9
5,-1,2,10,46415,-6.198883e-05,9
5,-1,2,100,46415,-1.04904175e-05,9
5,-1,2,1,129154,0.052277565,9
5,-1,2,10,129154,1.9073486e-06,9
5,-1,2,100,129154,-6.67572e-06,9
5,-1,2,1,359381,0.03745079,9
5,-1,2,10,359381,9.536743e-07,9
5,-1,2,100,359381,-2.861023e-06,9
5,-1,2,1,1000000,-0.00016593933,9
5,-1,2,10,1000000,-0.00013542175,9
5,-1,2,100,1000000,-2.861023e-06,9
5,-1,2,1,100,-0.003247261,10
5,-1,2,10,100,-0.013281345,10
5,-1,2,100,100,-2.861023e-06,10
5,-1,2,1,278,0.029470444,10
5,-1,2,10,278,0.05444002,10
5,-1,2,100,278,0.055128574,10
5,-1,2,1,774,0.003894806,10
5,-1,2,10,774,4.4822693e-05,10
5,-1,2,100,774,9.059906e-05,10
5,-1,2,1,2154,0.00074863434,10
5,-1,2,10,2154,-0.0001745224,10
5,-1,2,100,2154,0.00013589859,10
5,-1,2,1,5994,0.033493042,10
5,-1,2,10,5994,-0.001036644,10
5,-1,2,100,5994,-0.00083732605,10
5,-1,2,1,16681,0.011030197,10
5,-1,2,10,16681,-0.0008993149,10
5,-1,2,100,16681,-0.0006198883,10
5,-1,2,1,46415,0.022594452,10
5,-1,2,10,46415,-3.0517578e-05,10
5,-1,2,100,46415,-2.002716e-05,10
5,-1,2,1,129154,0.03228283,10
5,-1,2,10,129154,0.0072011948,10
5,-1,2,100,129154,0.00040245056,10
5,-1,2,1,359381,0.004199028,10
5,-1,2,10,359381,0.0,10
5,-1,2,100,359381,-2.861023e-06,10
5,-1,2,1,1000000,0.023182869,10
5,-1,2,10,1000000,5.722046e-06,10
5,-1,2,100,1000000,6.67572e-06,10
5,-1,3,1,100,1.9066203,1
5,-1,3,10,100,0.43795353,1
5,-1,3,100,100,-0.0006992221,1
5,-1,3,1,278,1.4076989,1
5,-1,3,10,278,0.42907953,1
5,-1,3,100,278,-0.014135361,1
5,-1,3,1,774,2.0675416,1
5,-1,3,10,774,0.8406913,1
5,-1,3,100,774,0.002779007,1
5,-1,3,1,2154,1.4849887,1
5,-1,3,10,2154,0.72001886,1
5,-1,3,100,2154,0.0017476082,1
5,-1,3,1,5994,2.245767,1
5,-1,3,10,5994,0.7179675,1
5,-1,3,100,5994,5.6266785e-05,1
5,-1,3,1,16681,1.7241945,1
5,-1,3,10,16681,1.1314607,1
5,-1,3,100,16681,0.0021443367,1
5,-1,3,1,46415,1.957066,1
5,-1,3,10,46415,1.2148933,1
5,-1,3,100,46415,0.0017371178,1
5,-1,3,1,129154,1.5829544,1
5,-1,3,10,129154,1.4021492,1
5,-1,3,100,129154,0.011268616,1
5,-1,3,1,359381,1.823657,1
5,-1,3,10,359381,1.5416584,1
5,-1,3,100,359381,0.015134811,1
5,-1,3,1,1000000,1.516984,1
5,-1,3,10,1000000,1.4398851,1
5,-1,3,100,1000000,0.0106601715,1
5,-1,3,1,100,1.5814989,2
5,-1,3,10,100,0.04424858,2
5,-1,3,100,100,-0.0042488575,2
5,-1,3,1,278,1.4267735,2
5,-1,3,10,278,0.0024778843,2
5,-1,3,100,278,8.440018e-05,2
5,-1,3,1,774,1.4032302,2
5,-1,3,10,774,0.023789883,2
5,-1,3,100,774,-0.0004644394,2
5,-1,3,1,2154,2.111329,2
5,-1,3,10,2154,0.012917519,2
5,-1,3,100,2154,5.2452087e-06,2
5,-1,3,1,5994,1.2476897,2
5,-1,3,10,5994,0.031585693,2
5,-1,3,100,5994,-0.00011301041,2
5,-1,3,1,16681,1.9318428,2
5,-1,3,10,16681,0.39340448,2
5,-1,3,100,16681,0.0030179024,2
5,-1,3,1,46415,1.9140105,2
5,-1,3,10,46415,0.06296635,2
5,-1,3,100,46415,4.673004e-05,2
5,-1,3,1,129154,1.9126577,2
5,-1,3,10,129154,0.1285677,2
5,-1,3,100,129154,1.335144e-05,2
5,-1,3,1,359381,1.9766598,2
5,-1,3,10,359381,0.03579521,2
5,-1,3,100,359381,0.0001077652,2
5,-1,3,1,1000000,1.2621794,2
